Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1988","1988","3050","FAO TIER 1","t","2673599.5","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1988","1988","3050","FAO TIER 1","kt","0.1872","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1988","1988","3050","FAO TIER 1","kt","7.2187","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1989","1989","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1989","1989","3050","FAO TIER 1","t","2644005","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1989","1989","3050","FAO TIER 1","kt","0.1851","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1989","1989","3050","FAO TIER 1","kt","7.1388","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1990","1990","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1990","1990","3050","FAO TIER 1","t","2777190","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1990","1990","3050","FAO TIER 1","kt","0.1944","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1990","1990","3050","FAO TIER 1","kt","7.4984","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1991","1991","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1991","1991","3050","FAO TIER 1","t","2737120.1","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1991","1991","3050","FAO TIER 1","kt","0.1916","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1991","1991","3050","FAO TIER 1","kt","7.3902","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1992","1992","3050","FAO TIER 1","kt","","A","Official figure",""
