ensembl_gene_id,occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex,geneID
ENSG00000173113,42.170072,27.750074,34.418963,34.660159,29.729477,29.749824,34.154756,44.818282,51.322117,52.273544,56.005432,31.421786,24.393086,42.343572,37.420639,29.639676,ENSG00000173113
ENSG00000173114,4.115215,4.606317,30.135379,13.900014,10.696985,33.734463,20.800645,47.903024,4.2406,3.262697,9.860505,17.133072,31.356685,15.440134,6.916391,3.652079,ENSG00000173114
ENSG00000173120,5.999579,11.252957,7.033296,7.89531,8.664156,9.403405,8.248924,5.852055,5.48257,4.067522,3.697599,9.760862,7.416928,7.138919,5.89617,8.876199,ENSG00000173120
ENSG00000173124,0.028921,0.016754,0.015538,0.095269,0.066669,0.050866,0.013864,0.043235,0.074506,0.0,0.066108,0.008929,0.056826,0.07097,0.033023,0.053559,ENSG00000173124
ENSG00000173137,1.345942,1.86947,1.360794,1.391594,1.334437,1.661873,1.202075,0.764141,1.053356,1.496254,1.118075,1.392496,0.987701,1.086113,1.254087,1.425129,ENSG00000173137
ENSG00000173141,23.361086,16.254653,15.454732,20.327949,14.306799,11.526287,17.262494,13.483293,19.693173,24.063053,19.044357,15.037144,15.363478,21.119572,17.986767,16.650035,ENSG00000173141
ENSG00000173145,7.703851,5.056009,3.296755,5.272883,4.055634,1.9364,5.659392,2.920914,7.790057,7.079748,4.673796,3.982206,3.455471,6.361879,5.297853,5.72758,ENSG00000173145
ENSG00000173153,6.280033,4.928158,3.742249,4.046592,4.547582,5.547504,4.2346,2.465233,4.73334,6.17143,3.114174,3.833166,3.652365,3.177345,4.316385,5.077315,ENSG00000173153
ENSG00000173156,0.766527,0.429852,0.656906,0.342533,1.924923,0.20013,0.02794,0.064364,0.962088,1.078501,9.115747,0.062787,0.215141,1.907853,0.884403,0.97733,ENSG00000173156
ENSG00000173157,0.014914,0.010012,0.006064,0.036929,0.005204,0.028752,0.029033,0.0,0.006237,0.003923,0.032075,0.027284,0.037599,0.0,0.031957,0.005105,ENSG00000173157
ENSG00000173163,8.669774,6.872513,8.296317,6.922741,6.667702,6.190711,6.418297,9.025969,10.523131,11.913135,13.806345,6.045374,6.199357,8.503213,9.013068,6.8397,ENSG00000173163
ENSG00000173166,2.949219,6.239544,5.183621,4.845552,6.063194,7.757529,4.668928,3.423593,2.615452,2.040353,2.026019,5.77645,4.945904,2.846272,3.491141,5.00205,ENSG00000173166
ENSG00000173171,3.065623,1.764153,2.304117,2.098795,1.611466,2.406775,1.692664,2.443943,2.612691,2.681163,2.501318,2.009875,1.521898,2.929097,2.289818,2.40387,ENSG00000173171
ENSG00000173175,2.979444,5.853296,4.780786,1.256154,8.223973,6.117707,2.177367,3.775542,1.84095,1.862514,2.247052,3.739974,6.31291,2.755043,3.102638,6.136865,ENSG00000173175
ENSG00000173193,0.483196,0.777511,0.430643,0.541746,0.704212,0.57903,0.457986,0.19769,0.821075,0.498489,1.185457,0.662099,0.4114,1.770233,0.535965,0.58796,ENSG00000173193
ENSG00000173198,0.125848,0.137689,0.137722,0.037096,0.562247,0.109117,0.039172,0.00752,0.108293,0.270799,0.490858,0.007336,0.16675,0.4621,0.241936,0.156799,ENSG00000173198
ENSG00000173200,0.006542,0.019898,0.0,0.012088,0.020544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848,0.0,ENSG00000173200
ENSG00000173207,7.183059,8.039186,5.300862,8.633698,5.027145,3.135731,9.925115,6.329208,20.337925,14.719528,11.708415,6.155464,3.912229,6.35515,11.40605,7.140581,ENSG00000173207
ENSG00000173208,3.258142,3.512936,1.624234,1.780525,3.747976,0.29914,3.399379,0.818747,1.580352,2.908348,1.384667,2.123381,3.393945,3.89703,4.120488,3.42884,ENSG00000173208
ENSG00000173209,0.199717,1.455952,0.483303,0.523808,0.499782,1.255387,0.51799,0.447334,0.337983,0.325535,0.463501,1.418006,0.438258,0.322662,0.395172,0.525858,ENSG00000173209
ENSG00000173210,1.483219,2.978889,9.809359,3.244718,5.774056,16.407211,2.177434,3.911539,2.536189,1.94217,4.266431,6.063488,8.194985,2.679477,2.69876,2.593558,ENSG00000173210
ENSG00000173212,0.0,0.0,0.0,0.0,0.0,0.012978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011365,ENSG00000173212
ENSG00000173213,0.0,0.0,0.032909,0.0,0.0,0.221453,0.0,0.061047,0.033848,0.0,0.070008,0.020521,0.025593,0.085345,0.0,0.0,ENSG00000173213
ENSG00000173214,0.805357,0.951183,0.499998,0.822036,0.633572,0.680269,0.880116,0.657459,0.699056,0.476712,0.696489,0.881818,0.620315,1.067941,0.541294,0.739668,ENSG00000173214
ENSG00000173218,0.939287,1.056481,1.004023,1.084317,1.317845,0.89804,1.139835,0.949686,1.047969,0.896457,2.834102,1.255665,1.079087,1.802567,0.922949,0.879479,ENSG00000173218
